,address,istabas,platiba,stavs,tips,cena_m2,cena(eiro)
1,Tomsona 39,1,62,5/9,Jaun.,"2,581","160,000"
2,Bruņinieku 47,4,78,4/5,P. kara,"1,654","129,000"
3,Lāčplēša 104A,2,52,2/2,P. kara,808,"42,000"
4,Matīsa 131,1,26,1/2,P. kara,481,"12,500"
5,Cēsu 5B,2,47,2/6,P. kara,"1,600","75,217"
6,J. Daliņa 4,1,29,3/5,Hrušč.,"1,345","39,000"
7,Brīvības 103,3,97,2/6,P. kara,"1,103","107,000"
8,Lāčplēša 118,1,30,5/5,P. kara,"1,193","35,800"
9,Bruņinieku 87,2,45,2/6,P. kara,"1,218","54,800"
10,Grostonas 25,3,96,15/23,Jaun.,"2,141","205,550"
11,Zaļā 7,3,75,1/4,P. kara,"1,587","119,000"
12,Ģertrūdes 62,6,150,6/6,P. kara,"1,290","193,500"
13,Ausekļa 5,5,162,2/5,Renov.,"2,160","350,000"
14,Ausekļa 5,4,152,2/5,Renov.,"2,895","440,000"
15,Ieroču 1,4,89,4/4,Staļina,"1,348","120,000"
16,Brīvības 230,3,74,1/10,Jaun.,"1,608","119,000"
17,Blaumaņa 29,3,115,6/6,P. kara,"1,000","115,000"
18,Blaumaņa 29,4,148,5/6,P. kara,"1,101","163,000"
19,Blaumaņa 29,4,149,4/6,P. kara,"1,094","163,000"
20,Dzirnavu 6A,3,77,3/5,Renov.,"2,558","197,000"
21,Skolas 25,4,122,2/5,P. kara,"2,041","249,000"
22,Strēlnieku 4b,2,45,3/6,Jaun.,"3,556","160,000"
23,Piena 2,2,61,2/2,Renov.,"1,944","118,560"
24,Avotu 4,1,19,5/5,Renov.,"1,953","37,100"
25,Avotu 4,2,35,4/5,Renov.,"1,814","63,480"
26,Valdemāra 57/59,4,110,5/6,P. kara,"1,314","144,560"
27,Valdemāra 143/2,2,42,4/5,Hrušč.,"1,548","65,000"
28,Dzirnavu 115,2,41,4/5,P. kara,"1,785","73,200"
29,Dzirnavu 62,5,133,4/5,P. kara,"1,752","233,000"
30,Ģertrūdes 22,3,74,2/6,P. kara,"2,270","168,000"
33,Bruņinieku 93A,1,29,1/5,P. kara,"1,310","38,000"
34,Matīsa 41,3,70,2/6,P. kara,"1,786","125,000"
35,Valdemāra 69,2,55,1/6,Renov.,"1,200","65,990"
36,Lugažu 8,2,30,3/3,Specpr.,396,"11,890"
37,Duntes 24,1,25,2/2,P. kara,356,"8,890"
38,Valdemāra 23,3,100,2/5,Renov.,"2,300","230,000"
39,Stabu 95/1,2,50,1/5,P. kara,980,"49,000"
40,Katrīnas d. 26,1,30,4/4,Hrušč.,"1,100","33,000"
41,Vīlandes 15,3,79,1/5,Staļina,"1,453","114,800"
42,Avotu 66,1,27,2/5,P. kara,"2,037","55,000"
43,Hanzas 4,4,114,6/6,P. kara,"1,404","160,000"
44,Maskavas 16,3,122,3/6,Jaun.,"1,803","220,000"
45,Skolas 20,3,110,2/6,Jaun.,"2,909","320,000"
46,Dzirnavu 3A,3,68,5/5,P. kara,"1,301","88,500"
47,Cēsu 26,3,68,2/4,P. kara,"1,404","95,500"
48,Blaumaņa 9A,1,33,1/6,Renov.,"1,650","54,450"
49,Vesetas 8,4,118,6/7,Specpr.,"1,678","198,000"
50,Skanstes 29,2,68,12/23,Jaun.,"2,074","140,999"
51,Valmieras 6,2,46,2/2,P. kara,698,"32,100"
52,Barona 6,4,139,3/5,Renov.,"3,191","443,520"
53,Barona 6,2,33,2/5,Renov.,"3,027","99,900"
54,Dzirnavu 83,4,103,4/7,Jaun.,"3,500","360,500"
55,Bruņinieku 39,3,87,4/4,P. kara,"2,069","180,000"
56,Blaumaņa 12,2,43,5/6,Renov.,"2,427","104,340"
57,Avotu 4,1,20,5/5,Renov.,"2,095","41,900"
58,Avotu 4,2,34,3/5,Renov.,"1,814","61,670"
59,Elizabetes 9,1,28,1/5,P. kara,"2,214","62,000"
60,Valdemāra 106,5,133,3/5,Staļina,"1,331","177,000"
61,Brīvības 148,5,98,6/6,P. kara,917,"89,900"
62,Pulkv. Brieža 11,3,90,3/5,P. kara,"2,778","250,000"
65,Pērnavas 47,3,55,3/5,P. kara,836,"46,000"
66,Tallinas 30,1,36,2/4,P. kara,"1,639","59,000"
67,Antonijas 11,2,58,2/6,Renov.,"2,586","150,000"
68,Pērnavas 21,3,86,6/6,P. kara,942,"81,000"
69,Stabu 100,4,96,6/7,Jaun.,"2,316","222,300"
70,Tērbatas 82a,3,62,2/5,P. kara,"1,210","75,000"
71,Dzirnavu 53,2,49,6/6,P. kara,"1,980","97,000"
72,Čaka 33,1,19,6/6,P. kara,"1,910","36,290"
73,Avotu 2,2,53,5/6,P. kara,"1,792","95,000"
74,Valdemāra 143 k3,3,55,2/5,Hrušč.,"1,436","79,000"
75,Valdemāra 159,1,32,3/5,P. kara,"1,250","40,000"
76,Bruņinieku 104,2,49,4/4,P. kara,"1,388","68,000"
77,Marijas 16,6,130,2/7,P. kara,"1,903","247,380"
78,Lāčplēša 114,2,34,1/5,P. kara,"1,309","44,500"
79,Ieroču 10B,3,99,1/2,Priv. m.,"1,879","186,000"
80,Čaka 33,2,45,3/7,P. kara,"1,967","88,500"
81,Krasta 11,4,99,4/6,Renov.,"1,497","148,200"
82,Blaumaņa 29,4,148,4/5,P. kara,"1,101","163,000"
83,Ģertrūdes 99,3,57,2/6,Renov.,"1,891","107,800"
84,Avotu 4,1,18,1/5,Renov.,"1,874","33,730"
85,Avotu 4,2,40,3/5,Renov.,"1,788","71,530"
86,Avotu 4,2,38,2/5,Renov.,"2,605","99,000"
87,Dzirnavu 83,4,185,6/7,Jaun.,"2,973","550,000"
88,Dzirnavu 83,4,111,2/7,Jaun.,"2,928","325,000"
89,Strēlnieku 5,3,82,2/7,Jaun.,"3,404","279,140"
90,Bruņinieku 28,4,120,3/6,P. kara,"2,375","285,000"
91,Bruņinieku 28,3,79,5/6,P. kara,"1,658","130,999"
92,Kalniņa 4,3,65,4/5,P. kara,"1,969","128,000"
93,Bruņinieku 82,1,15,2/2,P. kara,"2,000","30,000"
94,Valdemāra 39,3,82,1/5,P. kara,"1,009","82,750"
97,Alūksnes 1,2,49,3/5,Renov.,"1,300","63,700"
98,Ģertrūdes 86,1,30,3/6,P. kara,"1,567","47,000"
99,Čaka 84,3,61,2/4,Renov.,"2,459","150,000"
100,Strēlnieku 7,3,85,4/6,Jaun.,"3,047","259,000"
101,Zirņu 8,1,30,3/5,Hrušč.,"1,350","40,500"
102,Raiņa bulv. 3,3,85,6/6,Renov.,"1,991","169,200"
103,Valdemāra 57/59,3,89,6/6,P. kara,"1,517","135,000"
104,Puškina 19,3,96,3/5,Staļina,"1,667","160,000"
105,Duntes 28,3,103,6/16,Jaun.,"1,675","172,500"
106,Birznieka-Upīša 20..,4,94,4/6,P. kara,"1,053","99,000"
107,Lāčplēša 104,4,104,1/3,P. kara,510,"53,000"
108,Lāčplēša 104,2,52,1/2,P. kara,538,"28,000"
109,Brīvības 230,4,111,10/10,Jaun.,"1,793","199,000"
110,Zvaigžņu 15,1,25,1/2,P. kara,"1,240","31,000"
111,Tērbatas 65,4,124,4/5,P. kara,"1,363","169,000"
112,Artilērijas 44,1,22,1/5,P. kara,"1,091","24,000"
113,Marijas 20,2,49,4/5,Renov.,"2,000","98,000"
114,Miera 105,2,48,2/5,Renov.,"1,871","89,800"
115,Brīvības 39a,4,118,2/6,Renov.,"1,195","141,000"
116,Alūksnes 1,4,97,3/5,Renov.,"1,254","121,625"
117,Lāčplēša 83,2,52,2/2,P. kara,567,"29,500"
118,Čaka 33,2,38,3/7,P. kara,"1,974","75,000"
119,Mēness 21,2,62,4/5,Specpr.,"1,226","76,000"
120,Ģertrūdes 99,3,67,4/6,P. kara,"1,684","112,800"
121,Grostonas 19,2,62,5/10,Jaun.,"2,218","137,500"
122,Ieroču 1,4,108,1/5,Staļina,"1,065","115,000"
123,Blaumaņa 9A,2,39,2/6,Renov.,"2,344","91,415"
124,Blaumaņa 25,2,48,5/5,P. kara,"1,677","80,500"
125,Valdemāra 69,2,55,2/6,Renov.,"1,363","74,990"
126,Merķeļa 6,4,82,3/5,P. kara,"2,317","190,000"
