,address,istabas,platiba,stavs,tips,cena_m2,cena(eiro)
1,Dzirnavu 37,4,134,6/6,Renov.,"2,612","350,000"
2,Brīvības 74,5,147,6/6,P. kara,"1,701","250,000"
3,Stabu 53,3,52,2/2,P. kara,"1,537","79,900"
4,Valdemāra 41а,3,165,2/7,Jaun.,"1,818","300,000"
5,Ozolu 5,2,38,3/5,M. ģim.,"1,129","42,900"
6,Blaumaņa 3,3,138,3/6,Renov.,"2,645","365,000"
7,Tomsona 39,1,62,5/9,Jaun.,"2,581","160,000"
8,Bruņinieku 47,4,78,4/5,P. kara,"1,654","129,000"
9,Lāčplēša 104A,2,52,2/2,P. kara,808,"42,000"
10,Matīsa 131,1,26,1/2,P. kara,481,"12,500"
11,Cēsu 5B,2,47,2/6,P. kara,"1,600","75,217"
12,J. Daliņa 4,1,29,3/5,Hrušč.,"1,345","39,000"
13,Brīvības 103,3,97,2/6,P. kara,"1,103","107,000"
14,Lāčplēša 118,1,30,5/5,P. kara,"1,193","35,800"
15,Bruņinieku 87,2,45,2/6,P. kara,"1,218","54,800"
16,Grostonas 25,3,96,15/23,Jaun.,"2,141","205,550"
17,Zaļā 7,3,75,1/4,P. kara,"1,587","119,000"
18,Ģertrūdes 62,6,150,6/6,P. kara,"1,290","193,500"
19,Ausekļa 5,5,162,2/5,Renov.,"2,160","350,000"
20,Ausekļa 5,4,152,2/5,Renov.,"2,895","440,000"
21,Ieroču 1,4,89,4/4,Staļina,"1,348","120,000"
22,Brīvības 230,3,74,1/10,Jaun.,"1,608","119,000"
23,Blaumaņa 29,3,115,6/6,P. kara,"1,000","115,000"
24,Blaumaņa 29,4,148,5/6,P. kara,"1,101","163,000"
25,Blaumaņa 29,4,149,4/6,P. kara,"1,094","163,000"
26,Dzirnavu 6A,3,77,3/5,Renov.,"2,558","197,000"
27,Skolas 25,4,122,2/5,P. kara,"2,041","249,000"
28,Strēlnieku 4b,2,45,3/6,Jaun.,"3,556","160,000"
29,Piena 2,2,61,2/2,Renov.,"1,944","118,560"
30,Avotu 4,1,19,5/5,Renov.,"1,953","37,100"
